TransactionID,TransactionDate,SKU,ProductName,Category,Supplier,Warehouse,OpeningStock,UnitsReceived,UnitsSold,ClosingStock,ReorderLevel,UnitCost,LeadTimeDays,StockStatus
INV001,2025-01-03,SKU001,Laptop Bag,Accessories,Supplier A,Ahmedabad,120,40,55,105,50,650,5,Healthy
INV002,2025-01-07,SKU002,Wireless Mouse,Electronics,Supplier B,Surat,90,30,70,50,45,400,7,Healthy
INV003,2025-01-12,SKU003,Office Chair,Furniture,Supplier C,Vadodara,60,20,45,35,40,3200,10,Reorder
INV004,2025-01-18,SKU004,Keyboard,Electronics,Supplier B,Surat,100,50,80,70,50,750,6,Healthy
INV005,2025-02-02,SKU005,Desk Lamp,Home Office,Supplier D,Rajkot,75,25,60,40,35,550,8,Healthy
INV006,2025-02-09,SKU006,Monitor Stand,Accessories,Supplier A,Ahmedabad,85,30,75,40,45,900,5,Reorder
INV007,2025-02-15,SKU007,Study Table,Furniture,Supplier C,Vadodara,50,15,40,25,30,4500,12,Reorder
INV008,2025-02-23,SKU008,USB Cable,Electronics,Supplier B,Surat,200,100,160,140,80,120,4,Healthy
INV009,2025-03-04,SKU009,Notebook Set,Stationery,Supplier E,Rajkot,300,120,250,170,100,80,6,Healthy
INV010,2025-03-11,SKU010,Pen Pack,Stationery,Supplier E,Rajkot,400,150,370,180,120,45,5,Healthy
INV011,2025-03-19,SKU011,Headphones,Electronics,Supplier B,Surat,70,35,65,40,50,1100,7,Reorder
INV012,2025-03-28,SKU012,File Organizer,Stationery,Supplier E,Ahmedabad,150,60,130,80,70,250,6,Healthy
INV013,2025-04-05,SKU013,Ergonomic Chair,Furniture,Supplier C,Vadodara,40,10,32,18,25,6500,14,Reorder
INV014,2025-04-13,SKU014,Power Bank,Electronics,Supplier B,Surat,110,45,100,55,60,800,8,Reorder
INV015,2025-04-21,SKU015,Desk Mat,Accessories,Supplier A,Ahmedabad,130,50,90,90,55,300,5,Healthy
INV016,2025-05-03,SKU016,Whiteboard,Home Office,Supplier D,Rajkot,65,20,50,35,40,1200,9,Reorder
INV017,2025-05-12,SKU017,Printer Paper,Stationery,Supplier E,Ahmedabad,250,100,220,130,90,200,6,Healthy
INV018,2025-05-20,SKU018,Webcam,Electronics,Supplier B,Surat,55,25,60,20,35,1800,10,Reorder
INV019,2025-06-01,SKU019,Book Shelf,Furniture,Supplier C,Vadodara,45,15,35,25,30,3800,13,Reorder
INV020,2025-06-09,SKU020,Mouse Pad,Accessories,Supplier A,Ahmedabad,180,70,140,110,75,150,4,Healthy
INV021,2025-06-17,SKU021,Calculator,Stationery,Supplier E,Rajkot,160,50,120,90,60,350,6,Healthy
INV022,2025-07-02,SKU022,LED Monitor,Electronics,Supplier B,Surat,35,15,30,20,25,7200,11,Reorder
INV023,2025-07-15,SKU023,Storage Box,Home Office,Supplier D,Rajkot,95,40,80,55,50,500,7,Healthy
INV024,2025-07-28,SKU024,Laptop Stand,Accessories,Supplier A,Ahmedabad,100,35,90,45,55,700,5,Reorder
INV025,2025-08-03,SKU008,USB Cable,Electronics,Supplier B,Vadodara,163,85,145,103,73,135,4,Healthy
INV026,2025-08-04,SKU018,Webcam,Electronics,Supplier B,Ahmedabad,153,108,134,127,39,1785,12,Healthy
INV027,2025-08-04,SKU013,Ergonomic Chair,Furniture,Supplier C,Vadodara,25,35,36,24,22,7040,16,Healthy
INV028,2025-08-04,SKU012,File Organizer,Stationery,Supplier E,Ahmedabad,435,126,158,403,70,250,5,Healthy
INV029,2025-08-05,SKU016,Whiteboard,Home Office,Supplier D,Vadodara,60,18,23,55,50,1340,10,Healthy
INV030,2025-08-06,SKU001,Laptop Bag,Accessories,Supplier A,Ahmedabad,244,80,168,156,61,715,6,Healthy
INV031,2025-08-09,SKU019,Book Shelf,Furniture,Supplier C,Vadodara,70,22,32,60,31,4245,12,Healthy
INV032,2025-08-10,SKU016,Whiteboard,Home Office,Supplier D,Rajkot,110,56,115,51,48,1305,10,Healthy
INV033,2025-08-10,SKU011,Headphones,Electronics,Supplier B,Ahmedabad,142,82,105,119,44,1210,8,Healthy
INV034,2025-08-11,SKU008,USB Cable,Electronics,Supplier B,Vadodara,221,75,138,158,87,120,5,Healthy
